application_id,job_id,candidate_id,skill_match_score,experience_match_score,cgpa_score,projects_score,overall_score,outcome
120,36,62,0.0,64.0,85.9,0,32.08,hired
121,23,293,0.0,19.0,75.5,100,32.03,shortlisted
122,51,229,12.5,1.0,69.6,40,21.74,rejected
123,140,192,0.0,35.5,81.9,50,30.43,rejected
124,123,35,0.0,25.0,80.9,20,22.63,rejected
125,169,95,0.0,68.5,81.7,70,43.3,rejected
126,30,287,0.0,46.0,73.7,90,38.36,hired
127,52,76,0.0,56.5,81.2,0,29.13,rejected
128,192,360,0.0,79.0,88.0,100,51.9,rejected
129,96,31,0.0,47.5,62.5,40,29.62,rejected
130,4,58,0.0,56.5,87.4,10,31.56,rejected
131,69,300,16.67,31.0,62.6,30,29.86,rejected
132,78,451,28.57,26.5,76.9,70,41.41,rejected
133,82,472,14.29,34.0,86.7,10,30.42,rejected
134,123,411,0.0,13.0,94.3,90,31.54,rejected
135,170,244,0.0,92.5,97.8,70,52.92,rejected
136,55,51,0.0,13.0,78.6,70,26.19,shortlisted
137,142,325,16.67,74.5,60.3,10,39.56,rejected
138,19,75,0.0,89.5,63.5,70,46.88,rejected
139,131,75,0.0,91.0,63.5,70,47.33,rejected
140,18,245,0.0,95.5,68.0,90,52.35,rejected
141,19,290,75.0,88.0,72.2,10,68.73,shortlisted
142,161,386,0.0,70.0,87.3,30,38.59,rejected
143,161,186,16.67,61.0,75.0,60,45.22,rejected
144,68,209,16.67,16.0,92.1,60,34.28,shortlisted
145,111,22,33.33,89.5,88.2,50,60.91,rejected
146,200,203,0.0,76.0,73.3,10,35.3,hired
147,172,372,0.0,46.0,66.9,60,32.84,rejected
148,101,231,85.71,59.5,97.6,40,72.78,rejected
149,58,384,0.0,68.5,85.0,20,36.3,rejected
150,123,315,0.0,80.5,87.4,100,52.26,rejected
151,131,456,0.0,25.0,81.3,30,24.2,rejected
152,194,326,0.0,58.0,65.9,40,33.28,shortlisted
153,154,267,0.0,44.5,71.1,50,31.52,rejected
154,198,39,0.0,64.0,89.1,90,46.06,rejected
155,8,214,0.0,55.0,66.6,30,30.99,shortlisted
156,22,361,28.57,29.5,94.8,70,45.0,rejected
157,38,396,0.0,67.0,90.8,90,47.22,rejected
158,95,143,0.0,31.0,97.4,20,26.91,rejected
159,119,333,0.0,80.5,61.4,100,48.36,rejected
160,88,156,0.0,76.0,72.0,30,38.1,rejected
161,155,168,16.67,29.5,69.7,90,39.47,rejected
162,121,262,16.67,64.0,96.9,80,52.4,rejected
163,194,447,0.0,0.0,91.7,90,27.26,rejected
164,151,356,0.0,65.5,68.7,100,44.95,rejected
165,175,310,0.0,74.5,85.4,50,42.66,rejected
166,147,71,0.0,76.0,74.0,30,38.4,rejected
167,24,355,0.0,29.5,90.7,60,31.45,rejected
168,88,273,12.5,1.0,90.6,60,27.89,rejected
169,162,33,33.33,41.5,64.9,10,37.02,rejected
170,69,479,0.0,59.5,89.6,80,43.29,rejected
171,74,305,14.29,74.5,93.7,10,43.62,rejected
172,81,475,0.0,25.0,87.4,100,35.61,rejected
173,62,290,16.67,14.5,72.2,10,23.35,shortlisted
174,79,99,0.0,97.0,94.7,0,43.3,rejected
175,133,347,0.0,47.5,69.0,90,38.1,rejected
176,68,307,0.0,94.0,82.4,20,43.56,rejected
177,169,97,16.67,88.0,97.6,80,59.71,rejected
178,36,411,0.0,32.5,94.3,90,37.39,rejected
179,76,98,25.0,35.5,62.6,0,30.04,rejected
180,93,365,16.67,11.5,71.4,40,26.83,rejected
181,83,105,0.0,58.0,72.0,90,41.7,rejected
182,149,267,0.0,88.0,71.1,50,44.56,shortlisted
183,186,371,0.0,70.0,86.5,50,41.48,rejected
184,164,127,0.0,17.5,64.4,100,29.91,rejected
185,163,426,28.57,85.0,96.6,40,57.42,shortlisted
186,166,415,0.0,76.0,79.8,60,43.77,rejected
187,63,201,0.0,34.0,91.2,70,34.38,rejected
188,70,478,57.14,97.0,97.2,50,74.04,rejected
189,138,175,0.0,85.0,76.0,20,39.9,shortlisted
190,156,37,42.86,95.5,71.5,10,58.02,shortlisted
191,97,417,0.0,19.0,86.2,20,21.63,rejected
192,101,2,0.0,16.0,95.6,80,31.14,shortlisted
193,66,476,0.0,86.5,86.4,90,52.41,rejected
194,141,299,28.57,67.0,69.6,20,44.97,rejected
195,131,291,0.0,49.0,89.4,10,29.61,rejected
196,69,27,16.67,50.5,73.9,90,46.4,rejected
197,161,251,0.0,31.0,72.6,0,20.19,rejected
198,122,224,71.43,26.5,61.9,30,50.31,rejected
199,31,72,0.0,97.0,80.9,80,53.23,shortlisted
200,93,390,0.0,82.0,86.7,10,39.1,rejected
201,14,22,0.0,94.0,88.2,50,48.93,rejected
202,72,56,0.0,53.5,96.4,80,42.51,rejected
203,69,66,0.0,76.0,70.4,50,40.86,rejected
204,191,352,0.0,64.0,63.7,40,34.75,rejected
205,11,457,37.5,28.0,70.8,20,37.02,rejected
206,16,6,0.0,38.5,85.7,70,34.91,shortlisted
207,160,369,0.0,65.5,96.8,20,37.17,rejected
208,111,124,16.67,74.5,81.9,50,48.8,rejected
209,159,310,0.0,41.5,85.4,50,32.76,rejected
210,69,476,0.0,74.5,86.4,90,48.81,rejected
211,61,78,14.29,37.0,84.4,50,36.97,hired
212,150,163,0.0,58.0,84.7,40,36.1,rejected
213,44,413,0.0,73.0,73.4,30,37.41,rejected
214,99,105,28.57,83.5,72.0,90,60.78,rejected
215,5,489,0.0,89.5,95.1,60,50.11,shortlisted
216,147,380,28.57,83.5,81.5,50,56.2,rejected
217,70,415,0.0,44.5,79.8,60,34.32,rejected
218,25,127,0.0,82.0,64.4,100,49.26,rejected
219,57,124,28.57,59.5,81.9,50,49.06,rejected
220,43,457,12.5,19.0,70.8,20,24.32,shortlisted
221,57,144,0.0,43.0,69.5,30,27.82,shortlisted
222,62,344,16.67,17.5,66.9,40,27.95,rejected
223,149,441,14.29,55.0,83.3,80,46.71,rejected
224,99,229,14.29,2.5,69.6,40,22.9,rejected
225,26,434,0.0,79.0,85.1,60,45.46,shortlisted
226,183,228,0.0,58.0,84.6,30,34.59,rejected
227,190,455,0.0,86.5,72.1,100,51.77,rejected
228,158,385,0.0,89.5,84.4,100,54.51,rejected
229,139,392,0.0,58.0,83.1,30,34.37,rejected
230,173,252,0.0,29.5,89.6,10,23.79,rejected
231,135,176,0.0,10.0,75.7,70,24.86,rejected
232,128,260,0.0,43.0,63.6,70,32.94,rejected
233,114,311,0.0,32.5,84.1,40,28.36,rejected
234,37,361,12.5,83.5,94.8,70,54.77,shortlisted
235,179,350,37.5,92.5,66.7,20,55.76,shortlisted
236,104,107,0.0,74.5,68.8,50,40.17,rejected
237,91,208,0.0,92.5,63.3,30,41.74,rejected
238,184,149,0.0,56.5,66.0,0,26.85,rejected
239,98,308,12.5,71.5,69.1,80,48.81,rejected
240,7,352,0.0,74.5,63.7,40,37.91,rejected
241,63,331,0.0,94.0,95.4,90,56.01,rejected
242,116,366,0.0,79.0,76.6,20,38.19,rejected
243,100,293,50.0,61.0,75.5,100,64.62,shortlisted
244,98,11,0.0,86.5,97.8,30,45.12,rejected
245,186,229,0.0,88.0,69.6,40,42.84,rejected
246,23,224,0.0,88.0,61.9,30,40.19,rejected
247,59,138,0.0,77.5,88.2,80,48.48,rejected
248,67,246,16.67,86.5,69.7,90,56.57,shortlisted
249,57,438,0.0,88.0,91.2,80,52.08,rejected
250,133,307,0.0,52.0,82.4,20,30.96,rejected
251,51,434,12.5,74.5,85.1,60,49.11,hired
252,98,187,0.0,98.5,93.6,90,57.09,hired
253,59,47,0.0,98.5,73.8,10,42.12,rejected
254,41,48,0.0,76.0,64.9,60,41.54,rejected
255,142,26,16.67,64.0,66.1,20,38.78,rejected
256,135,478,0.0,49.0,97.2,50,36.78,rejected
257,39,151,0.0,89.5,68.9,10,38.68,shortlisted
258,112,143,14.29,0.0,97.4,20,23.32,rejected
259,48,118,0.0,100.0,74.3,50,48.64,rejected
260,43,267,0.0,32.5,71.1,50,27.91,shortlisted
261,24,318,0.0,92.5,97.7,20,45.41,shortlisted
262,168,401,0.0,97.0,81.7,80,53.35,rejected
263,190,91,28.57,95.5,96.6,70,65.07,shortlisted
264,121,483,0.0,100.0,66.4,100,54.96,rejected
265,43,121,0.0,61.0,79.3,80,42.2,hired
266,51,309,37.5,23.5,88.0,50,42.75,rejected
267,18,396,0.0,98.5,90.8,90,56.67,shortlisted
268,46,274,42.86,62.5,88.0,100,64.09,shortlisted
269,119,284,14.29,46.0,87.0,0,32.56,rejected
270,186,92,0.0,76.0,70.8,80,45.42,shortlisted
271,48,126,0.0,100.0,78.4,10,43.26,rejected
272,84,438,0.0,41.5,91.2,80,38.13,shortlisted
273,70,263,14.29,43.0,90.4,10,33.67,rejected
274,129,259,0.0,35.5,60.5,90,33.22,rejected
275,101,70,0.0,83.5,85.4,40,43.86,shortlisted
276,121,80,16.67,85.0,77.6,60,52.81,rejected
277,62,442,16.67,16.0,86.9,0,24.5,rejected
278,95,294,0.0,80.5,87.4,90,50.76,rejected
279,119,126,0.0,59.5,78.4,10,31.11,rejected
280,182,57,0.0,80.5,70.6,30,39.24,rejected
281,42,328,14.29,73.0,97.6,60,51.25,rejected
282,11,35,62.5,35.5,80.9,20,50.78,rejected
283,35,1,0.0,85.0,96.6,50,47.49,rejected
284,136,410,0.0,59.5,73.7,0,28.91,rejected
285,194,203,0.0,49.0,73.3,10,27.2,rejected
286,186,207,0.0,41.5,71.3,0,23.14,rejected
287,120,493,0.0,76.0,85.6,0,35.64,rejected
288,134,182,0.0,34.0,69.9,0,20.69,rejected
289,148,368,0.0,79.0,64.2,90,46.83,rejected
290,104,385,0.0,80.5,84.4,100,51.81,rejected
291,105,86,0.0,88.0,74.5,50,45.07,rejected
292,128,65,0.0,76.0,82.9,40,41.23,rejected
293,53,38,0.0,32.5,83.7,90,35.8,rejected
294,95,432,0.0,94.0,87.7,40,47.35,rejected
295,155,463,16.67,52.0,92.1,50,43.58,rejected
296,97,154,0.0,46.0,65.4,90,37.11,rejected
297,81,250,0.0,2.5,73.6,40,17.79,shortlisted
298,5,111,0.0,53.5,70.3,10,28.1,rejected
299,164,385,0.0,23.5,84.4,100,34.71,shortlisted
300,152,405,0.0,50.5,76.8,70,37.17,rejected
301,36,333,0.0,76.0,61.4,100,47.01,rejected
302,102,126,0.0,71.5,78.4,10,34.71,shortlisted
303,59,463,0.0,71.5,92.1,50,42.77,rejected
304,125,205,16.67,37.0,80.8,50,37.39,rejected
305,120,191,0.0,22.0,97.0,30,25.65,rejected
306,119,67,0.0,59.5,85.6,20,33.69,rejected
307,14,126,0.0,64.0,78.4,10,32.46,rejected
308,164,473,0.0,59.5,87.0,60,39.9,shortlisted
309,96,28,0.0,82.0,62.9,80,46.03,rejected
310,99,455,0.0,70.0,72.1,100,46.81,rejected
311,111,40,0.0,83.5,90.7,40,44.66,rejected
312,91,421,0.0,65.5,83.0,20,35.1,rejected
313,123,21,14.29,73.0,88.6,40,46.9,rejected
315,50,159,0.0,98.5,97.5,20,47.17,rejected
316,43,6,0.0,73.0,85.7,70,45.25,rejected
317,38,382,0.0,82.0,93.6,90,52.14,rejected
318,70,31,0.0,86.5,62.5,40,41.33,hired
319,56,323,0.0,23.5,90.0,50,28.05,rejected
320,7,230,0.0,70.0,96.7,80,47.5,rejected
321,157,236,0.0,95.5,73.5,60,48.67,rejected
322,84,146,0.0,86.5,77.3,50,45.05,rejected
323,133,300,0.0,34.0,62.6,30,24.09,shortlisted
324,113,389,14.29,34.0,85.0,80,40.66,rejected
325,196,264,0.0,11.5,61.4,0,12.66,hired
326,200,281,16.67,94.0,83.6,30,51.91,rejected
327,145,260,0.0,95.5,63.6,70,48.69,shortlisted
328,40,478,14.29,98.5,97.2,50,57.34,rejected
329,85,339,0.0,94.0,90.4,50,49.26,rejected
330,188,370,0.0,38.5,63.4,70,31.56,rejected
331,37,73,0.0,58.0,80.0,50,36.9,rejected
332,51,48,12.5,22.0,64.9,60,30.34,rejected
333,71,202,33.33,91.0,64.1,0,50.25,rejected
334,12,156,14.29,58.0,72.0,30,38.41,hired
335,35,100,0.0,61.0,80.4,0,30.36,rejected
336,50,214,0.0,0.0,66.6,30,14.49,rejected
337,39,219,0.0,20.5,85.9,0,19.04,rejected
338,66,470,14.29,83.5,67.4,40,46.87,rejected
339,17,84,0.0,83.5,91.1,40,44.72,rejected
340,68,373,0.0,97.0,67.6,80,51.24,rejected
341,17,113,16.67,94.0,63.2,30,48.85,rejected
342,43,474,0.0,91.0,92.0,60,50.1,rejected
343,30,41,16.67,67.0,72.9,50,45.2,rejected
344,88,316,37.5,85.0,64.9,20,53.23,rejected
345,96,436,0.0,77.5,61.2,50,39.93,rejected
346,67,296,0.0,98.5,68.4,80,51.81,rejected
347,190,170,0.0,94.0,75.8,40,45.57,rejected
348,84,270,14.29,58.0,96.3,70,48.06,shortlisted
349,175,428,16.67,94.0,82.2,20,50.2,rejected
350,134,350,14.29,85.0,66.7,20,44.22,rejected
351,153,399,12.5,44.5,61.6,90,41.09,rejected
352,58,418,0.0,77.5,64.5,20,35.92,hired
353,124,140,85.71,77.5,77.1,10,70.6,shortlisted
354,131,154,0.0,100.0,65.4,90,53.31,rejected
355,186,208,16.67,53.5,63.3,30,36.71,shortlisted
356,152,154,0.0,47.5,65.4,90,37.56,rejected
357,66,55,14.29,79.0,92.2,20,46.24,rejected
358,143,115,16.67,79.0,87.4,90,56.98,rejected
359,57,451,28.57,34.0,76.9,70,43.66,rejected
360,119,464,0.0,56.5,64.1,100,41.56,shortlisted
361,26,358,0.0,28.0,86.6,30,25.89,rejected
362,93,212,0.0,98.5,92.0,60,52.35,rejected
363,108,291,14.29,43.0,89.4,10,33.52,rejected
364,21,125,0.0,0.0,64.0,10,11.1,shortlisted
365,124,486,85.71,100.0,80.0,50,83.79,rejected
366,17,397,0.0,61.0,78.6,90,43.59,rejected
367,15,224,0.0,25.0,61.9,30,21.29,rejected
368,111,79,0.0,74.5,73.2,80,45.33,rejected
369,8,171,0.0,52.0,79.6,60,36.54,rejected
370,31,158,0.0,58.0,84.6,70,40.59,rejected
371,126,476,0.0,28.0,86.4,90,34.86,rejected
372,151,110,0.0,58.0,65.9,50,34.78,rejected
373,61,147,0.0,28.0,80.3,60,29.45,rejected
374,43,173,0.0,61.0,97.9,80,44.98,shortlisted
375,84,304,0.0,95.5,81.0,100,55.8,shortlisted
376,22,52,0.0,71.5,93.1,90,48.91,shortlisted
377,189,5,0.0,31.0,65.0,20,22.05,shortlisted
378,110,253,16.67,77.5,90.9,40,49.55,rejected
379,179,332,12.5,88.0,60.4,40,46.46,shortlisted
380,14,2,0.0,56.5,95.6,80,43.29,rejected
381,9,69,0.0,88.0,96.3,90,54.34,rejected
382,94,348,0.0,91.0,74.1,40,44.41,rejected
383,180,183,14.29,91.0,90.2,0,46.54,rejected
384,23,21,0.0,61.0,88.6,40,37.59,shortlisted
385,80,170,0.0,49.0,75.8,40,32.07,shortlisted
386,150,43,28.57,100.0,92.8,30,59.85,rejected
387,158,1,0.0,35.5,96.6,50,32.64,rejected
388,50,405,0.0,37.0,76.8,70,33.12,shortlisted
389,101,422,0.0,28.0,89.1,40,27.77,rejected
390,28,137,0.0,61.0,90.2,40,37.83,rejected
391,158,429,0.0,68.5,94.0,10,36.15,rejected
392,157,146,0.0,98.5,77.3,50,48.64,shortlisted
393,119,311,0.0,58.0,84.1,40,36.02,rejected
394,41,330,14.29,91.0,65.5,10,44.34,rejected
395,132,50,0.0,46.0,65.3,20,26.6,rejected
396,58,353,0.0,97.0,64.6,90,52.29,rejected
397,101,437,0.0,82.0,85.1,20,40.37,rejected
398,42,356,14.29,16.0,68.7,100,35.82,rejected
399,116,184,16.67,74.5,95.6,90,56.86,rejected
400,79,151,0.0,92.5,68.9,10,39.59,rejected
401,103,215,0.0,0.0,67.7,90,23.65,rejected
402,61,407,14.29,73.0,88.1,30,45.33,rejected
403,80,342,0.0,47.5,91.7,20,31.01,rejected
404,62,237,16.67,67.0,77.9,70,48.95,shortlisted
405,40,19,14.29,73.0,66.7,70,48.12,shortlisted
406,151,449,0.0,43.0,83.0,90,38.85,shortlisted
407,28,230,14.29,52.0,96.7,80,47.82,shortlisted
408,186,38,0.0,28.0,83.7,90,34.45,rejected
409,86,353,14.29,94.0,64.6,90,57.1,shortlisted
410,62,368,16.67,100.0,64.2,90,59.8,shortlisted
411,105,63,0.0,89.5,72.2,10,39.18,rejected
412,172,483,0.0,88.0,66.4,100,51.36,rejected
413,187,301,16.67,61.0,63.8,30,39.04,rejected
414,182,108,0.0,61.0,89.8,70,42.27,rejected
415,168,18,16.67,98.5,85.0,90,62.47,shortlisted
416,101,99,0.0,77.5,94.7,0,37.45,rejected
417,13,17,0.0,97.0,93.2,100,58.08,rejected
418,65,200,42.86,52.0,64.0,20,45.34,shortlisted
419,128,238,42.86,76.0,92.5,30,58.32,rejected
420,102,402,0.0,73.0,89.0,80,47.25,rejected
421,83,231,0.0,95.5,97.6,40,49.29,shortlisted
422,84,382,0.0,47.5,93.6,90,41.79,rejected
423,109,338,0.0,52.0,85.9,70,38.98,rejected
424,193,291,0.0,82.0,89.4,10,39.51,rejected
425,48,4,0.0,28.0,65.9,10,19.79,rejected
426,43,489,0.0,41.5,95.1,60,35.71,rejected
427,24,250,0.0,32.5,73.6,40,26.79,rejected
428,86,76,0.0,80.5,81.2,0,36.33,hired
429,36,123,0.0,34.0,96.7,10,26.2,rejected
430,127,491,25.0,59.5,76.4,50,46.81,rejected
431,52,370,0.0,25.0,63.4,70,27.51,shortlisted
432,10,395,0.0,70.0,65.9,70,41.38,hired
434,158,191,0.0,31.0,97.0,30,28.35,rejected
435,27,248,0.0,82.0,63.8,40,40.17,rejected
436,129,104,0.0,88.0,68.7,40,42.7,rejected
437,86,349,0.0,38.5,70.3,80,34.1,rejected
438,189,381,0.0,83.5,65.9,40,40.94,rejected
439,136,201,0.0,62.5,91.2,70,42.93,rejected
440,152,314,0.0,85.0,70.7,20,39.11,rejected
441,51,223,0.0,17.5,65.2,90,28.53,rejected
442,188,410,0.0,46.0,73.7,0,24.86,hired
443,185,303,0.0,98.5,76.6,20,44.04,rejected
444,138,387,12.5,95.5,95.7,50,55.5,shortlisted
445,73,171,0.0,77.5,79.6,60,44.19,hired
446,151,322,0.0,35.5,91.4,80,36.36,rejected
447,17,243,16.67,95.5,66.3,40,51.26,rejected
448,107,476,0.0,26.5,86.4,90,34.41,rejected
449,156,293,0.0,29.5,75.5,100,35.18,rejected
450,81,428,0.0,89.5,82.2,20,42.18,rejected
451,116,136,0.0,73.0,79.2,60,42.78,rejected
452,167,437,0.0,29.5,85.1,20,24.61,hired
453,59,343,0.0,97.0,92.6,70,53.49,rejected
454,66,203,0.0,68.5,73.3,10,33.05,rejected
455,136,118,0.0,44.5,74.3,50,32.0,hired
456,116,123,16.67,55.0,96.7,10,39.17,rejected
457,111,25,0.0,62.5,94.6,40,38.94,rejected
458,71,275,0.0,50.5,65.0,80,36.9,rejected
459,140,482,0.0,11.5,71.2,0,14.13,rejected
460,129,445,0.0,44.5,81.6,20,28.59,rejected
461,197,328,0.0,83.5,97.6,60,48.69,rejected
462,197,308,0.0,89.5,69.1,80,49.21,rejected
463,128,298,0.0,61.0,71.6,30,33.54,rejected
464,170,283,14.29,56.5,74.3,40,39.81,rejected
465,30,438,0.0,86.5,91.2,80,51.63,rejected
466,100,288,0.0,94.0,83.3,0,40.7,rejected
467,46,280,0.0,71.5,86.5,60,43.42,rejected
468,4,351,0.0,50.5,92.6,60,38.04,rejected
469,85,332,0.0,89.5,60.4,40,41.91,rejected
470,123,11,0.0,85.0,97.8,30,44.67,shortlisted
471,192,375,0.0,65.5,92.8,10,35.07,rejected
472,169,150,0.0,40.0,69.5,100,37.42,rejected
473,107,83,16.67,82.0,80.5,20,46.34,rejected
474,53,374,0.0,73.0,83.9,80,46.48,shortlisted
475,25,392,0.0,25.0,83.1,30,24.47,rejected
476,80,278,0.0,40.0,86.2,30,29.43,rejected
477,164,36,14.29,47.5,72.3,50,38.31,shortlisted
478,40,448,0.0,58.0,72.6,10,29.79,shortlisted
479,1,489,0.0,88.0,95.1,60,49.66,rejected
480,200,395,16.67,86.5,65.9,70,53.0,rejected
481,70,495,0.0,86.5,68.2,10,37.68,shortlisted
482,196,232,71.43,91.0,90.6,100,84.46,shortlisted
483,129,393,0.0,58.0,60.0,40,32.4,rejected
484,137,239,0.0,14.5,89.6,50,25.29,rejected
485,124,343,14.29,85.0,92.6,70,55.6,rejected
486,22,183,14.29,53.5,90.2,0,35.29,rejected
487,91,91,0.0,74.5,96.6,70,47.34,rejected
488,49,280,0.0,19.0,86.5,60,27.68,rejected
489,186,10,0.0,28.0,63.5,70,28.43,rejected
490,159,412,0.0,64.0,60.8,80,40.32,rejected
491,197,45,0.0,76.0,61.8,70,42.57,rejected
492,42,75,0.0,92.5,63.5,70,47.77,rejected
493,134,418,14.29,95.5,64.5,20,47.04,rejected
